#,Event,Date,Venue,Location,Attendance,url,fight_odds_url
429,UFC 221: Romero vs. Rockhold,2018-02-11,Perth Arena,"Perth, Australia","12,437",https://en.wikipedia.org/wiki/UFC_221,https://www.bestfightodds.com/events/ufc-221-romero-vs-rockhold-1411
428,UFC Fight Night: Machida vs. Anders,2018-02-03,Arena Guilherme Paraense,"Belém, Brazil","10,144",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Anders,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
427,UFC on Fox: Jacaré vs. Brunson 2,2018-01-27,Spectrum Center,"Charlotte, North Carolina, U.S.","10,249",https://en.wikipedia.org/wiki/UFC_on_Fox:_Jacar%C3%A9_vs._Brunson_2,https://www.bestfightodds.com/events/ufc-on-fox-27-jacare-vs-brunson-2-1413
426,UFC 220: Miocic vs. Ngannou,2018-01-20,TD Garden,"Boston, Massachusetts, U.S.","16,015",https://en.wikipedia.org/wiki/UFC_220,https://www.bestfightodds.com/events/ufc-220-miocic-vs-ngannou-1406
425,UFC Fight Night: Stephens vs. Choi,2018-01-14,Scottrade Center,"St. Louis, Missouri, U.S.","10,052",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Stephens_vs._Choi,https://www.bestfightodds.com/events/ufc-fight-night-124-stephens-vs-choi-1408
424,UFC 219: Cyborg vs. Holm,2017-12-30,T-Mobile Arena,"Las Vegas, Nevada, U.S.","13,561",https://en.wikipedia.org/wiki/UFC_219,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
423,UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Bell MTS Place,"Winnipeg, Manitoba, Canada","8,862",https://en.wikipedia.org/wiki/UFC_on_Fox:_Lawler_vs._dos_Anjos,https://www.bestfightodds.com/events/ufc-on-fox-26-lawler-vs-dos-anjos-1365
422,UFC Fight Night: Swanson vs. Ortega,2017-12-09,Save Mart Center,"Fresno, California, U.S.","7,605",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega,https://www.bestfightodds.com/events/ufc-fight-night-123-swanson-vs-ortega-1386
421,UFC 218: Holloway vs. Aldo 2,2017-12-02,Little Caesars Arena,"Detroit, Michigan, U.S.","17,587",https://en.wikipedia.org/wiki/UFC_218,https://www.bestfightodds.com/events/ufc-218-holloway-vs-aldo-2-1368
420,The Ultimate Fighter: A New World Champion Finale,2017-12-01,Park Theater,"Las Vegas, Nevada, U.S.",,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_A_New_World_Champion#The_Ultimate_Fighter_26_Finale,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
419,UFC Fight Night: Bisping vs. Gastelum,2017-11-25,Mercedes-Benz Arena,"Shanghai, China","15,128",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Bisping_vs._Gastelum,https://www.bestfightodds.com/events/ufc-fight-night-122-bisping-vs-gastelum-1363
418,UFC Fight Night: Werdum vs. Tybura,2017-11-19,Qudos Bank Arena,"Sydney, Australia","10,021",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Werdum_vs._Tybura,https://www.bestfightodds.com/events/ufc-fight-night-121-werdum-vs-tybura-1354
417,UFC Fight Night: Poirier vs. Pettis,2017-11-11,Ted Constant Convocation Center,"Norfolk, Virginia, U.S.","8,442",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Poirier_vs._Pettis,https://www.bestfightodds.com/events/ufc-fight-night-120-poirier-vs-pettis-1353
416,UFC 217: Bisping vs. St-Pierre,2017-11-04,Madison Square Garden,"New York City, New York, U.S.","18,201",https://en.wikipedia.org/wiki/UFC_217,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
415,UFC Fight Night: Brunson vs. Machida,2017-10-28,Ginásio do Ibirapuera,"São Paulo, Brazil","10,265",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Brunson_vs._Machida,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
414,UFC Fight Night: Cowboy vs. Till,2017-10-21,Ergo Arena,"Gdańsk, Poland","11,138",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Cowboy_vs._Till,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
413,UFC 216: Ferguson vs. Lee,2017-10-07,T-Mobile Arena,"Las Vegas, Nevada, U.S.","10,638",https://en.wikipedia.org/wiki/UFC_216,https://www.bestfightodds.com/events/ufc-216-ferguson-vs-lee-1341
412,UFC Fight Night: Saint Preux vs. Okami,2017-09-23,Saitama Super Arena,"Saitama, Japan","8,571",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Saint_Preux_vs._Okami,https://www.bestfightodds.com/events/ufc-fight-night-117-saint-preux-vs-okami-1332
